,,,,,,,,,,,
Nama Bahan Herbal,Identitas Taaman,Kandungan Senyawa Aktif,Manfaat,Bagian Tanaman Yang DIgunakan,Metode Pengolahan Rumahan,"Keamanan, Dosis, dan Interaksi Medis",Provinsi,,Referensi,Note,Lampiran
Daun Bangun-Bangun,Coleus amboinicus,"Karvakrol, timol, fenol, asam rosmarinat",Pelancar ASI (galaktogog) dan meredakan batuk,Daun,Masak daun segar menjadi sup hangat atau peras airnya setelah diremas,Sangat aman dikonsumsi harian bagi ibu menyusui. Hindari porsi ekstrem bila ada alergi,Sumatra Utara,,Alodokter,Terbukti secara ilmiah meningkatkan produksi serta kualitas ASI pada ibu menyusui,
Bawang Dayak,Eleutherine bulbosa,"Eleuterin, isoeleuterin, eleuterol, naptoquinon",Mengontrol gula darah dan menurunkan tekanan darah,Umbi,"Cuci umbi, iris tipis, keringkan lalu seduh dengan air panas seperti teh",Dosis: 1–2 cangkir sehari. Konsultasikan bila sedang mengonsumsi obat antidiabetes sintetik,Kalimantan Timur,,Halodoc,Senyawa naptoquinon bertindak sebagai antioksidan kuat dan agen antimikroba spesifik,
Tabat Barito,Ficus deltoidea,"Flavonoid, tanin, triterpenoid, saponin",Menjaga kesehatan organ kewanitaan dan melancarkan peredaran darah,Daun,"Rebus 5–7 lembar daun kering dengan 2 gelas air hingga tersisa 1 gelas, lalu saring",Dosis: 1 cangkir sehari. Penggunaan berlebihan dapat memicu hipotensi ringan,Kalimantan Tengah,,Halodoc,Kaya flavonoid yang berfungsi memperbaiki elastisitas pembuluh darah dan jaringan halus,
Kasturi,Mangifera casturi,"Mangiferin, polifenol, karotenoid, vitamin C",Menjaga kesehatan kulit dan menangkal radikal bebas,Buah dan daun,Konsumsi buah segar atau rebus daun mudanya sebagai teh herbal antioksidan,Aman dikonsumsi harian sebagai buah atau minuman herbal dalam jumlah wajar,Kalimantan Selatan,,Alodokter,Mangiferin merupakan antioksidan spesifik genus Mangifera yang melindungi sel dari stres,
Cengkeh,Syzygium aromaticum,"Eugenol, eugenyl acetate, beta-caryophyllene",Meredakan sakit gigi dan bersifat antiseptik mulut,Bunga kering dan minyak,"Teteskan minyak cengkeh pada kapas untuk sakit gigi, atau seduh 2–3 kuntum bunga kering",Penggunaan topikal secukupnya. Jangan menelan minyak murni karena berisiko toksik pada hati,Sulawesi Utara,,Halodoc,Eugenol memiliki efek analgesik (penghilang rasa sakit) lokal yang efektif pada saraf gigi,
Pulai,Alstonia scholaris,"Ekitamin, alstonin, echitenine, alkaloid",Meredakan demam dan meredakan diare,Kulit kayu batang,Rebus 5 gram kulit kayu kering bersih dengan 2 gelas air hingga tersisa 1 gelas,Dosis: 1 kali sehari. Rasa sangat pahit; tidak disarankan untuk wanita hamil dan menyusui,Sulawesi Selatan,,Halodoc,Alkaloid ekitamin bekerja sebagai antipiretik dan antimalaria alami dalam pengobatan tradisional,
Kayu Angin,Usnea barbata,"Asam usnat, asam barbatat, polifenol",Mengobati batuk kronis dan sariawan,Thallus (lumut kerak),Rebus 3 gram kayu angin bersama ramuan lain (seperti kayu manis) lalu saring,Dosis: Dosis kecil. Asam usnat dalam dosis tinggi berisiko hepatotoksik (kerusakan hati),Sulawesi Tengah,,BPOM / Alodokter,Asam usnat dikenal sebagai agen antimikroba kuat terhadap bakteri Gram-positif,
Srikaya,Annona squamosa,"Annonain, squamocin, alkaloid, flavonoid",Mengatasi kutu kepala (daun) dan pelancar pencernaan (buah),Daun dan buah,"Tumbuk daun segar untuk dioleskan ke kulit kepala, atau makan buah matang segar",Biji dan daun mengandung racun jika tertelan; hanya daun yang diolah luar dan buah yang dimakan,Nusa Tenggara Barat,,Alodokter,Squamocin pada daun memiliki sifat insektisida alami yang ampuh membasmi parasit luar,
Cendana,Santalum album,"Alpha-santalol, beta-santalol, santalene",Menenangkan pikiran (relaksasi) dan meredakan peradangan,Kayu batang dan minyak,Serutan kayu direbus untuk diminum atau minyaknya digunakan untuk aromaterapi,Aman untuk pemakaian luar dan aromaterapi. Rebusan kayu diminum dalam dosis sangat rendah,Nusa Tenggara Timur,,PubMed / Alodokter,Alpha-santalol memberikan efek neurosedatif ringan yang membantu mengatasi stres,
Daun Ungu,Graptophyllum pictum,"Flavonoid, tanin, alkaloid, steroid",Meringankan dan mengobati wasir/ambeien,Daun,"Rebus 7–10 lembar daun segar dengan 3 gelas air hingga tersisa 1 gelas, minum teratur",Dosis: 1–2 kali sehari. Sangat baik dikombinasikan dengan konsumsi serat tinggi dan air putih,Bali,,Halodoc,Senyawa flavonoidnya bekerja mengecilkan pembuluh darah yang membengkak pada area anus,
Buah Merah,Pandanus conoideus,"Beta-karoten, alfa-tokoferol, asam oleat",Meningkatkan daya tahan tubuh dan kesehatan mata,Buah (ekstrak minyak),"Buah direbus/diekstrak hingga keluar minyak merah pekat, lalu diminum 1 sendok makan",Dosis: 1 sendok makan sehari. Perhatikan kalori bagi penderita hiperlipidemia,Papua,,PubMed / Alodokter,Kandungan antioksidan beta-karoten dan alfa-tokoferolnya sangat tinggi,
Keben,Barringtonia asiatica,"Saponin, hydrocyanic acid, tanin",Antiseptik luka dan perawatan infeksi mata luar,Biji buah,Ekstrak tetes air biji keben digunakan secara tradisional setelah pemurnian steril,Peringatan: Harus diproses steril. Penggunaan sembarangan pada mata berisiko iritasi/infeksi,Papua Barat,,Halodoc,Saponin biji keben menunjukkan aktivitas antibakteri dan pembendung plak mata,
Daun Gatal,Laportea decumana,"Asam format, histamin, prostaglandin","Meredakan pegal linu, nyeri otot, dan keletihan",Daun segar,Daun segar diusapkan atau ditempelkan langsung pada bagian tubuh yang pegal,Efek samping: Menyebabkan gatal/bentol sementara yang memicu pelebaran pembuluh darah lokal,Papua Selatan,,Alodokter / Kemdikbud,Rambut halus daun melepaskan asam format yang merangsang sirkulasi darah lokal secara instan,
Temu Ireng,Curcuma aeruginosa,"Kurkuminoid, germakron, isocurcumenol",Mengobati cacingan dan melancarkan haid,Rimpang,"Parut rimpang, peras airnya, campur dengan sedikit air hangat dan garam/madu",Dosis: 1 kali sehari. Tidak disarankan untuk wanita hamil karena merangsang rahim,Banten,,BPOM / Alodokter,Germakron dan alkaloidnya bekerja sebagai anthelmintik alami untuk meluruhkan cacing usus,
Temulawak,Curcuma xanthorrhiza Roxb.,"Kurkuminoid, xanthorrhizol, phellandrene, turmerone.","Meningkatkan nafsu makan, menjaga fungsi hati, antiinflamasi, dan melancarkan pencernaan.",Rimpang,"Rimpang dicuci, diparut, diperas airnya, direbus dengan air lalu diminum hangat.",Aman dikonsumsi 1–2 kali sehari. Hindari dosis tinggi pada ibu hamil dan penderita batu empedu.,Jawa Tengah,,"BPOM RI, Herbarium Medicum Indonesia",-,-
Jahe Merah,Zingiber officinale var. rubrum,"Gingerol, shogaol, paradol, zingerone, flavonoid.","Menghangatkan tubuh, meredakan mual, meningkatkan imun, antinyeri, dan antiinflamasi.",Rimpang,"Direbus dengan air panas, disaring, diminum dengan madu. Bisa juga dibuat wedang.",Aman 1–3 gram per hari. Hindari pada penderita gangguan pembekuan darah atau yang mengonsumsi antikoagulan.,Jawa Barat,,"Jurnal Farmasi Indonesia, Herbal Indonesia",-,-
Sambiloto,Andrographis paniculata (Burm.f.) Nees,"Andrografolid, neoandrografolid, flavonoid, alkaloid.","Antibakteri, antivirus, menurunkan demam, dan meningkatkan sistem imun.",Daun dan batang,"Rebus 10–15 lembar daun dalam 2 gelas air hingga tersisa 1 gelas, minum 2x sehari.",Tidak untuk ibu hamil. Dapat menurunkan tekanan darah; pantau jika minum obat antihipertensi.,DKI Jakarta,,"Farmakope Herbal Indonesia, BPOM",-,-
Pegagan,Centella asiatica (L.) Urban,"Asiatikosida, madekasosida, asam asiatat, triterpenoid.","Meningkatkan daya ingat, menyembuhkan luka, antiinflamasi, dan menjaga kesehatan kulit.",Daun dan batang,Daun segar direbus atau dimakan langsung sebagai lalapan. Bisa dijus dengan madu.,Aman dikonsumsi hingga 60 mg/hari. Hindari pada gangguan hati. Tidak untuk ibu hamil jangka panjang.,DI Yogyakarta,,WHO Monographs on Selected Medicinal Plants,-,-
Lidah Buaya,Aloe vera (L.) Burm.f.,"Aloin, emodin, acemannan, antrakuinon, vitamin E dan C.","Melembapkan kulit, menyembuhkan luka bakar, melancarkan pencernaan, dan anti-inflamasi.",Gel daun,"Gel diambil langsung dari daun, dioleskan ke kulit atau dicampur jus untuk diminum.",Penggunaan topikal aman. Konsumsi oral berlebihan bisa memicu diare. Hindari pada ibu hamil.,Kalimantan Barat,,"BPOM, Jurnal Dermatologi Indonesia",-,-
Kumis Kucing,Orthosiphon aristatus (Blume) Miq.,"Sinensetin, eupatorin, rosmarinat, orthosiphon glikosida.","Melancarkan buang air kecil, mencegah batu ginjal, antihipertensi, dan antidiabetes.",Daun,"Rebus 25–50 gram daun kering dengan 2 gelas air, minum 2x sehari setelah makan.",Aman dalam dosis wajar. Hindari konsumsi bersamaan dengan obat diuretik. Tidak untuk ibu hamil.,Jawa Timur,,Farmakope Herbal Indonesia,-,-
Kencur,Kaempferia galanga L.,"Etil sinamat, etil p-metoksisinamat, kamfer, borneol, paraeumarin.","Meredakan batuk, meningkatkan nafsu makan, meredakan pegal linu, dan melancarkan haid.",Rimpang,"Rimpang diparut, diperas airnya, dicampur madu dan garam, diminum langsung.",Aman untuk dewasa dalam dosis rendah. Hindari pada ibu hamil karena bersifat stimulan uterus.,Jawa Barat,,"BPOM RI, Ensiklopedia Tanaman Obat Indonesia",-,-
Sirih Merah,Piper crocatum Ruiz & Pav.,"Flavonoid, alkaloid, polifenol, tanin, saponin, minyak atsiri.","Antidiabetes, antiseptik, antiinflamasi, dan menjaga kesehatan mulut dan organ intim.",Daun,"Rebus 3–5 lembar daun dengan 3 gelas air hingga tersisa 2 gelas, minum atau gunakan untuk kumur.",Aman untuk pemakaian eksternal. Konsumsi oral jangka panjang perlu pengawasan dokter.,Jawa Tengah,,Jurnal Farmasi Klinik Indonesia,-,-
Tapak Dara,Catharanthus roseus (L.) G.Don,"Vinblastine, vincristine, ajmalicine, serpentine, alkaloid indol.","Antikanker (digunakan dalam kemoterapi), antidiabetes, antihipertensi.",Daun dan bunga,"Rebus 15 lembar daun dengan 3 gelas air hingga tersisa 1 gelas, minum 1x sehari.",Harus hati-hati; senyawa aktifnya bersifat toksik dalam dosis tinggi. Konsultasikan dengan dokter.,DKI Jakarta,,"National Cancer Institute, Jurnal Onkologi Indonesia",-,-
Keji Beling,Strobilanthes crispus Blume,"Kalium, natrium, kalsium, asam silikat, flavonoid.","Menghancurkan batu ginjal, melancarkan urin, menurunkan kadar gula darah.",Daun,"Rebus 50 gram daun segar dengan 3 gelas air hingga tersisa 2 gelas, minum 2x sehari.",Aman dalam dosis wajar. Minum air putih yang cukup saat mengonsumsi untuk membantu pengeluaran batu.,Jawa Tengah,,"Jurnal Nefrologi Indonesia, Herbal Indonesia",-,-
Brotowali,Tinospora crispa (L.) Hook.f. & Thomson,"Borneol, tinokrisposid, alkaloid, glikosida pahit, pati.","Antidiabetes, antipiretik (penurun demam), antimalaria, dan meningkatkan imun.",Batang,"Rebus 10 cm batang dengan 3 gelas air hingga tersisa 1 gelas, minum 2x sehari.","Rasa sangat pahit. Aman dalam dosis terukur, hindari pada ibu hamil dan menyusui.",Sulawesi Selatan,,Farmakope Herbal Indonesia,-,-
Bidara Arab,Ziziphus mauritiana Lam.,"Saponin, flavonoid, alkaloid, tanin, polifenol.","Antiseptik, menenangkan pikiran, menurunkan gula darah, dan mengatasi masalah kulit.",Daun dan buah,"Rebus 7 lembar daun dengan 2 gelas air, minum atau gunakan air rebusan untuk mandi.","Aman dikonsumsi. Interaksi minimal, namun konsultasikan jika minum obat diabetes.",Aceh,,"Jurnal Herbal Islam, Kementerian Kesehatan RI",-,-
Rosela,Hibiscus sabdariffa L.,"Antosianin, asam hibiskat, asam askorbat, flavonoid, polifenol.","Menurunkan tekanan darah, antioksidan kuat, melancarkan pencernaan, dan menjaga kolesterol.",Kelopak bunga,"Seduh kelopak bunga kering dengan air panas, tambah madu, minum seperti teh.",Aman 1–2 cangkir per hari. Dapat berinteraksi dengan obat antihipertensi; pantau tekanan darah.,Jawa Timur,,"Jurnal Gizi dan Pangan IPB, WHO Monographs",-,-
Kayu Secang,Caesalpinia sappan L.,"Brazilin, brazilein, sappanin, flavonoid, tanin.","Antiinflamasi, antimikroba, antioksidan, meredakan nyeri, dan menjaga kesehatan jantung.",Kayu batang (serutan),"Rebus 10 gram serutan kayu dengan 3 gelas air hingga merah, minum hangat sebagai minuman herbal.",Aman dikonsumsi sebagai minuman tradisional. Tidak dianjurkan untuk ibu hamil dalam dosis besar.,DI Yogyakarta,,"Jurnal Kimia Indonesia, Balai Penelitian Tanaman Rempah",-,-
Pare,Momordica charantia L.,"Charantin, vicine, polipeptida-p, flavonoid, saponin.","Antidiabetes, antioksidan, menurunkan kolesterol, dan memperkuat imun.",Buah dan daun,"Buah dipotong, direbus atau dijus segar, diminum 1 kali sehari sebelum makan.",Aman dalam jumlah makanan normal. Hindari konsumsi biji mentah. Tidak untuk ibu hamil.,Sulawesi Utara,,"Diabetes Care Journal, Jurnal Biologi FMIPA UI",-,-
Ciplukan,Physalis angulata L.,"Fisalin, withanolida, flavonoid, steroid, saponin.","Antidiabetes, antiinflamasi, antitumor, menurunkan demam, dan mengatasi asma.","Buah, daun, dan akar","Rebus 10–15 gram seluruh tanaman dengan 3 gelas air, minum 2x sehari.",Aman dalam dosis wajar. Konsultasikan dengan dokter jika minum obat diabetes atau imunosupresan.,Jawa Tengah,,Jurnal Farmasi Universitas Gadjah Mada,-,-
Patikan Kebo,Euphorbia hirta L.,"Quersetin, mirisin, asam galat, tanin, flavonoid, terpenoid.","Antiastma, antimikroba, antidiare, menurunkan demam, dan meredakan inflamasi saluran napas.",Seluruh bagian tanaman,"Rebus 15 gram tanaman segar dengan 2 gelas air, minum 2x sehari selama gejala berlangsung.",Gunakan dengan hati-hati; getah tanaman dapat mengiritasi kulit. Tidak untuk ibu hamil.,Nusa Tenggara Barat,,"Journal of Ethnopharmacology, Kemenkes RI",-,-
Akar Kuning,Arcangelisia flava (L.) Merr.,"Berberina, columbamin, jatrorhizina, palmatin.","Antimalaria, antimikroba, hepatoprotektif (menjaga hati), dan antiinflamasi.",Akar dan batang,"Rebus 15 gram akar kering dengan 3 gelas air hingga tersisa 1 gelas, minum 2x sehari.",Hindari pada ibu hamil. Pantau fungsi hati jika dikonsumsi jangka panjang. Tidak untuk anak-anak.,Kalimantan Timur,,"Jurnal Biologi Tropika Kalimantan, LIPI",-,-
Daun Salam,Syzygium polyanthum (Wight) Walp.,"Flavonoid, tanin, minyak atsiri, saponin, lakton, fenol.","Menurunkan asam urat, antidiabetes, antihipertensi, dan melancarkan pencernaan.",Daun,"Rebus 10–15 lembar daun segar dengan 3 gelas air hingga mendidih, minum 2x sehari.",Aman dikonsumsi sebagai ramuan. Pantau gula darah jika minum obat antidiabetes bersamaan.,Jawa Tengah,,"Jurnal Ilmu Kefarmasian Indonesia, BPOM",-,-
Beluntas,Pluchea indica (L.) Less.,"Alkaloid, flavonoid, tanin, minyak atsiri, klorogenik asam.","Menghilangkan bau badan, meningkatkan nafsu makan, antinyeri, dan meredakan rematik.",Daun,"Daun segar dimakan sebagai lalapan, atau direbus untuk air minum penghilang bau badan.",Aman dikonsumsi sebagai sayuran. Tidak ada efek samping signifikan dalam dosis makanan.,Jawa Timur,,Jurnal Teknologi dan Industri Pangan IPB,-,-
Temu Putih,Curcuma zedoaria (Christm.) Roscoe,"Zedoaron, curzerenon, curdione, kurkuminoid.","Antikanker, antijamur, antiinflamasi, melancarkan haid, dan menjaga kesehatan lambung.",Rimpang,"Rimpang diparut, direbus dengan air, saring dan minum 1–2 kali sehari.",Hindari pada ibu hamil karena bersifat stimulan uterus. Batasi konsumsi jangka panjang.,Sumatra Barat,,"Asian Pacific Journal of Cancer Prevention, Herbal Indonesia",-,-
Akar Wangi,Vetiveria zizanioides (L.) Nash,"Khusimol, vetiveron, zizanol, flavonoid, terpenoid.","Menenangkan pikiran, mengatasi insomnia, antiseptik, dan meredakan demam.",Akar,"Akar dikeringkan, direbus dengan 2 gelas air, minum hangat sebelum tidur.",Aman dalam dosis herbal. Tidak dianjurkan dalam dosis tinggi untuk ibu hamil.,Jawa Tengah,,"Jurnal Aromaterapi Indonesia, Balai Penelitian Tanaman Industri",-,-
Pohon Maja,Aegle marmelos (L.) Corrêa,"Marmelosin, aurapten, tanin, alkaloid, flavonoid.","Antidiare, antidiabetes, antiinflamasi, menjaga kesehatan jantung, dan antimikroba.",Buah muda dan daun,"Buah muda dipotong dan dikeringkan, lalu direbus sebagai minuman herbal untuk diare.",Aman dalam dosis makanan. Hindari konsumsi berlebihan buah mentah karena dapat memperburuk sembelit.,DI Yogyakarta,,"Journal of Ethnopharmacology, Kebun Raya Bogor",-,-
Bayam Duri,Amaranthus spinosus L.,"Betalain, flavonoid, alkaloid, saponin, rutin, asam amino.","Antianemia, antiinflamasi, diuretik, meningkatkan produksi ASI, dan menurunkan demam.",Daun dan akar,Daun direbus atau dimakan sebagai sayuran. Akar direbus untuk meredakan demam.,Aman dikonsumsi sebagai sayuran. Kandungan oksalat tinggi; batasi pada penderita batu ginjal.,Gorontalo,,"Jurnal Botani Sulawesi, LIPI",-,-
Gandapura,Gaultheria fragrantissima Wall.,"Metil salisilat, gaultherin, tanin, flavonoid.","Meredakan nyeri otot dan sendi, antirematik, antiseptik, dan menghangatkan tubuh.",Daun dan minyak,Minyak gandapura dioleskan langsung ke bagian yang nyeri dan dipijat perlahan.,Hanya untuk penggunaan topikal. Toksik jika tertelan. Jauhkan dari jangkauan anak-anak.,Sumatra Utara,,Jurnal Farmasi dan Ilmu Kefarmasian Indonesia,-,-
Jati Belanda,Guazuma ulmifolia Lam.,"Tanin, musilago, flavonoid, kafein, proksianidin.","Membantu menurunkan berat badan, mengurangi penyerapan lemak, dan menurunkan kolesterol.",Daun,"Rebus 7 lembar daun kering dengan 2 gelas air hingga tersisa 1 gelas, minum sebelum makan.","Aman dalam dosis wajar. Konsumsi jangka panjang perlu dipantau, hindari bersamaan obat penurun lemak.",Bali,,"Jurnal Gizi Klinik Indonesia, BPOM",-,-
Meniran,Phyllanthus niruri L.,"Filantin, hipofilantin, flavonoid, lignan, alkaloid, tanin.","Meningkatkan imunitas, antivirus (hepatitis B), diuretik, dan membantu pemulihan liver.",Seluruh bagian tanaman,"Rebus 30 gram tanaman segar dengan 3 gelas air hingga tersisa 1 gelas, minum 2x sehari.",Aman untuk dewasa. Tidak untuk ibu hamil. Dapat berinteraksi dengan obat diabetes dan antikoagulan.,Lampung,,"Phytomedicine Journal, Jurnal Ilmu Kefarmasian Indonesia",-,-
Kayu Ular,Strychnos lucida R.Br.,"Brucin, strychnin, alkaloid, flavonoid.","Antimalaria, antipiretik, antinyeri, dan digunakan secara tradisional untuk mengatasi gigitan ular.",Kulit batang dan akar,"Kulit batang direbus dengan 3 gelas air, diminum 1 gelas sehari dalam dosis kecil.",Berpotensi toksik dalam dosis tinggi karena kandungan strychnin. Harus di bawah pengawasan ketat.,Maluku Utara,,"Penelitian Etnobotani Maluku, LIPI",-,-
Daun Wungu,Graptophyllum pictum (L.) Griff.,"Alkaloid, flavonoid, saponin, tanin, sterol.","Mengobati wasir, antiinflamasi, menyembuhkan luka, dan menurunkan demam.",Daun,"Rebus 7 lembar daun dengan 2 gelas air hingga tersisa 1 gelas, minum 2x sehari.",Aman dalam dosis wajar. Tidak ada interaksi obat signifikan yang dilaporkan.,Papua Tengah,,"Jurnal Tumbuhan Obat Papua, Universitas Cenderawasih",-,-
Sukun,Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg,"Flavonoid, saponin, polifenol, terpenoid, sikloartenol.","Mengontrol gula darah, menurunkan kolesterol, antihipertensi, dan antiinflamasi.",Daun,"Rebus 3 lembar daun tua yang telah dikeringkan dengan 3 gelas air, minum 1 gelas per hari.",Aman dikonsumsi. Pantau tekanan darah dan gula darah jika mengonsumsi obat-obatan terkait.,Sulawesi Tengah,,"Jurnal Teknologi dan Pangan Tropika, Balai Penelitian Kehutanan",-,-
